n. 趣闻轶事|anecdote
adj. 听觉的|auditory
n. 裨益，恩物|boon
n. 电路系统|circuitry
n. 渠道，通道|conduit
n. 财团，联合企业|consortium
v. 缩减，减少|curtail
n. 解码器|decoder
adj. 自由的，未约束的|disengage
adv. 适当地，恰当地|duly
v. 蚀刻，凿刻|etch
adj. 烦躁的，坐立不安的|fidgety
n. 脚注|footnote
v. 四处搜寻|forage
n. 天赐之物，及时雨|godsend
n. 超链接|hyperlink
n. 表意文字，表意符号|ideogram
adj. 略长的，相当长的|longish
adj. 神经的，神经系统的|neutral
adj. (评论/谚语等)精辟的|pithy
v. 重新筹划|remap
adj. 断音的，断奏的|staccato
adj. 暴露真相的|telltale
adj. 简短的（常表示厌烦等)|terse
n. 灌木丛，小树丛|thicket
n. 思路，头绪|thread
v. (随便马虎地)修补，修理|tinker
adj. 贪吃的，食量大的|voracious
adj. 倔强的，任性的|wayward 
phr.很可能的|as likely as not
phr.陷入|be/get caught up in sth 
phr.削弱|chip away at 
phr.详细说明|elaborate on 
phr.潜心于|immerse oneself in 
phr.把什么比作|liken...to... 
phr.更不必说|not to mention 
phr.深水潜水员|scuba diver 
phr.巨变|sea change 
phr.推测|speculate on/about 
phr.喜欢上。。。|take to 
phr.飞速地做某事|zip through/past/along 
