adj. 没有活力的，无精打采的|anemic
adj. 被水或其他液体漫过的|awash
v. & v. 叫嚷，大喊|bawl
v. 使（颜色）变淡，使变白；漂白|bleach
n. （北美西部和墨西哥的）丛林狼|coyote
v. 辨认；解释|decipher
adj. 违抗的；挑衅的|defiant
v. （使脱叶剂）使……落叶|defoliate
n. 废弃；不用|desuetudev
n. （由受人尊敬的或有权威的人士正式发表的）断言，意见，宣言|dictum
n. 雌兔；雌鹿|doe
n. 干旱尘暴区，长期干旱而多沉暴的地带|dust bowl
v. 消灭，根除|extirpate
n. （蛇、野狗等的）尖牙|fang
v. 涉水而过（河）|ford
n. 费力搜集到的零星信息|gleanings
n. 桧，刺柏|juniper
v. 撕……的皮肉，抓裂|maul
n. 迷宫似的街道/小路/电线等|maze
v. 腐烂，腐朽；渐渐崩塌|molder
n. （碰撞而发出的）格格声，嘎嘎声|rattle
n. 必需品|requisite
n. 鼠尾草，洋苏草（其灰绿色叶子可用于烹调）|sage
n. 扭打（不太猛烈的短时打斗）|scuffle
n. 籽苗，种苗，幼苗|seedling
n. 大剪刀|shears
v. （使）（自己或某物）显得更加整齐干净|spruce
adj. （身体）柔软的；灵活的|supple
v. （尤指皮肤）感到刺痛|tingle
n. （水的）湍流，急流|torrent
n. 新手，生手，初学者|tyro
v. （狗）摇（尾巴）|wag
v. & n.（马）轻声嘶叫|whinny
n. 柳树；柳木|willow
v. （尤指因痛苦而）剧烈地扭动身体|writhe
n. 藤壶（附在岩石、船底的甲壳类动物）|barnacle
adj. 粗心大意的；常出错的|bumbling
n. 浮标，航标|buoy
n. 强烈欲望；（难以克制的）冲动|compulsion
n. 小海湾|cove
n. 蟹|crab
v. 用曲柄启动（转动）|crank
n. （尤指由于生病引起的）精神错乱，谵妄|delirium
n. （用于纵帆）帆桁的自一舷转至另一舷，转帆|jibe
v. （使）急速地来回摆动|jiggle
n. 岩架；岩礁|ledge
n. 盛装；盛大的场面|panoply
n. （家庭的）起居室，会客室，客厅|parlor
v. 把（平整的表面）弄乱；把……弄皱，使起伏不平|ruffle
n. 长鼻鸬鹚|shag
adj. 杂乱地延伸的，无计划地开展的|sprawling
n.恶臭；臭气|stench
n. 刺，螫刺，螫针|stinger
n. 污点，瑕疵；腐坏|taint
n. （控制船舶方向的）舵柄|tiller
n. （用作外衣、背包等纽扣的）栓扣，棒形纽扣|toggle
n. 海胆|urchin
n. 思慕，向往，渴望|yearning
注意某事；慎重考虑某事|pay heed to something
